filename,num_players,num_messages_sent,turns
real_data/number_of_messages_experiment_1512653644.txt,15,957,66
real_data/number_of_messages_experiment_1512653644.txt,15,873,66
real_data/number_of_messages_experiment_1512653644.txt,15,859,66
real_data/number_of_messages_experiment_1512653644.txt,15,1026,66
real_data/number_of_messages_experiment_1512653644.txt,15,887,66
real_data/number_of_messages_experiment_1512653644.txt,15,859,66
real_data/number_of_messages_experiment_1512653644.txt,15,817,66
real_data/number_of_messages_experiment_1512653644.txt,15,873,66
real_data/number_of_messages_experiment_1512653644.txt,15,845,66
real_data/number_of_messages_experiment_1512653644.txt,15,817,66
real_data/number_of_messages_experiment_1512653644.txt,15,1013,66
real_data/number_of_messages_experiment_1512653644.txt,15,1041,66
real_data/number_of_messages_experiment_1512653644.txt,15,761,66
real_data/number_of_messages_experiment_1512653644.txt,15,887,66
real_data/number_of_messages_experiment_1512653644.txt,16,725,50
real_data/number_of_messages_experiment_1512653644.txt,16,650,50
real_data/number_of_messages_experiment_1512653644.txt,16,665,50
real_data/number_of_messages_experiment_1512653644.txt,16,770,50
real_data/number_of_messages_experiment_1512653644.txt,16,740,50
real_data/number_of_messages_experiment_1512653644.txt,16,785,50
real_data/number_of_messages_experiment_1512653644.txt,16,785,50
real_data/number_of_messages_experiment_1512653644.txt,16,830,50
real_data/number_of_messages_experiment_1512653644.txt,16,650,50
real_data/number_of_messages_experiment_1512653644.txt,16,590,50
real_data/number_of_messages_experiment_1512653644.txt,16,560,50
real_data/number_of_messages_experiment_1512653644.txt,16,815,50
real_data/number_of_messages_experiment_1512653644.txt,16,905,50
real_data/number_of_messages_experiment_1512653644.txt,16,875,50
real_data/number_of_messages_experiment_1512653644.txt,16,904,50
real_data/number_of_messages_experiment_1512653644.txt,16,755,50
real_data/number_of_messages_experiment_1512653644.txt,17,1461,122
real_data/number_of_messages_experiment_1512653644.txt,17,1445,122
real_data/number_of_messages_experiment_1512653644.txt,17,1429,122
real_data/number_of_messages_experiment_1512653644.txt,17,1445,122
real_data/number_of_messages_experiment_1512653644.txt,17,1429,122
real_data/number_of_messages_experiment_1512653644.txt,17,1509,122
real_data/number_of_messages_experiment_1512653644.txt,17,1429,122
real_data/number_of_messages_experiment_1512653644.txt,17,1556,122
real_data/number_of_messages_experiment_1512653644.txt,17,1573,122
real_data/number_of_messages_experiment_1512653644.txt,17,1509,122
real_data/number_of_messages_experiment_1512653644.txt,17,1493,122
real_data/number_of_messages_experiment_1512653644.txt,17,1445,122
real_data/number_of_messages_experiment_1512653644.txt,17,1557,122
real_data/number_of_messages_experiment_1512653644.txt,17,1301,122
real_data/number_of_messages_experiment_1512653644.txt,17,1365,122
real_data/number_of_messages_experiment_1512653644.txt,17,1413,122
real_data/number_of_messages_experiment_1512653644.txt,17,1461,122
real_data/number_of_messages_experiment_1512653644.txt,18,1263,90
real_data/number_of_messages_experiment_1512653644.txt,18,1110,90
real_data/number_of_messages_experiment_1512653644.txt,18,1314,90
real_data/number_of_messages_experiment_1512653644.txt,18,1518,90
real_data/number_of_messages_experiment_1512653644.txt,18,1263,90
real_data/number_of_messages_experiment_1512653644.txt,18,1263,90
real_data/number_of_messages_experiment_1512653644.txt,18,1246,90
real_data/number_of_messages_experiment_1512653644.txt,18,1518,90
real_data/number_of_messages_experiment_1512653644.txt,18,1297,90
real_data/number_of_messages_experiment_1512653644.txt,18,1262,90
real_data/number_of_messages_experiment_1512653644.txt,18,1161,90
real_data/number_of_messages_experiment_1512653644.txt,18,1433,90
real_data/number_of_messages_experiment_1512653644.txt,18,1161,90
real_data/number_of_messages_experiment_1512653644.txt,18,1280,90
real_data/number_of_messages_experiment_1512653644.txt,18,1433,90
real_data/number_of_messages_experiment_1512653644.txt,18,1416,90
real_data/number_of_messages_experiment_1512653644.txt,18,1484,90
real_data/number_of_messages_experiment_1512653644.txt,18,1365,90
real_data/number_of_messages_experiment_1512653644.txt,19,1211,77
real_data/number_of_messages_experiment_1512653644.txt,19,1301,77
real_data/number_of_messages_experiment_1512653644.txt,19,1319,77
real_data/number_of_messages_experiment_1512653644.txt,19,1355,77
real_data/number_of_messages_experiment_1512653644.txt,19,1103,77
real_data/number_of_messages_experiment_1512653644.txt,19,1337,77
real_data/number_of_messages_experiment_1512653644.txt,19,1067,77
real_data/number_of_messages_experiment_1512653644.txt,19,1481,77
real_data/number_of_messages_experiment_1512653644.txt,19,1193,77
real_data/number_of_messages_experiment_1512653644.txt,19,1373,77
real_data/number_of_messages_experiment_1512653644.txt,19,1373,77
real_data/number_of_messages_experiment_1512653644.txt,19,1534,77
real_data/number_of_messages_experiment_1512653644.txt,19,1319,77
real_data/number_of_messages_experiment_1512653644.txt,19,1391,77
real_data/number_of_messages_experiment_1512653644.txt,19,1319,77
real_data/number_of_messages_experiment_1512653644.txt,19,1265,77
real_data/number_of_messages_experiment_1512653644.txt,19,1517,77
real_data/number_of_messages_experiment_1512653644.txt,19,1355,77
real_data/number_of_messages_experiment_1512653644.txt,19,1319,77
real_data/number_of_messages_experiment_1512653644.txt,20,1354,89
real_data/number_of_messages_experiment_1512653644.txt,20,1449,89
real_data/number_of_messages_experiment_1512653644.txt,20,1544,89
real_data/number_of_messages_experiment_1512653644.txt,20,1468,89
real_data/number_of_messages_experiment_1512653644.txt,20,1297,89
real_data/number_of_messages_experiment_1512653644.txt,20,1411,89
real_data/number_of_messages_experiment_1512653644.txt,20,1506,89
real_data/number_of_messages_experiment_1512653644.txt,20,1581,89
real_data/number_of_messages_experiment_1512653644.txt,20,1487,89
real_data/number_of_messages_experiment_1512653644.txt,20,1430,89
real_data/number_of_messages_experiment_1512653644.txt,20,1411,89
real_data/number_of_messages_experiment_1512653644.txt,20,1354,89
real_data/number_of_messages_experiment_1512653644.txt,20,1544,89
real_data/number_of_messages_experiment_1512653644.txt,20,1544,89
real_data/number_of_messages_experiment_1512653644.txt,20,1449,89
real_data/number_of_messages_experiment_1512653644.txt,20,1468,89
real_data/number_of_messages_experiment_1512653644.txt,20,1677,89
real_data/number_of_messages_experiment_1512653644.txt,20,1468,89
real_data/number_of_messages_experiment_1512653644.txt,20,1430,89
real_data/number_of_messages_experiment_1512653644.txt,20,1506,89
real_data/number_of_messages_experiment_1512665672.txt,2,155,71
real_data/number_of_messages_experiment_1512665672.txt,2,143,71
real_data/number_of_messages_experiment_1512665672.txt,3,117,40
real_data/number_of_messages_experiment_1512665672.txt,3,136,40
real_data/number_of_messages_experiment_1512665672.txt,3,141,40
real_data/number_of_messages_experiment_1512665672.txt,4,224,49
real_data/number_of_messages_experiment_1512665672.txt,4,198,49
real_data/number_of_messages_experiment_1512665672.txt,4,198,49
real_data/number_of_messages_experiment_1512665672.txt,4,183,49
real_data/number_of_messages_experiment_1512665672.txt,5,119,23
real_data/number_of_messages_experiment_1512665672.txt,5,99,23
real_data/number_of_messages_experiment_1512665672.txt,5,147,23
real_data/number_of_messages_experiment_1512665672.txt,5,138,23
real_data/number_of_messages_experiment_1512665672.txt,5,123,23
real_data/number_of_messages_experiment_1512665672.txt,6,270,61
real_data/number_of_messages_experiment_1512665672.txt,6,305,61
real_data/number_of_messages_experiment_1512665672.txt,6,344,61
real_data/number_of_messages_experiment_1512665672.txt,6,330,61
real_data/number_of_messages_experiment_1512665672.txt,6,290,61
real_data/number_of_messages_experiment_1512665672.txt,6,295,61
real_data/number_of_messages_experiment_1512665672.txt,7,202,31
real_data/number_of_messages_experiment_1512665672.txt,7,215,31
real_data/number_of_messages_experiment_1512665672.txt,7,191,31
real_data/number_of_messages_experiment_1512665672.txt,7,227,31
real_data/number_of_messages_experiment_1512665672.txt,7,239,31
real_data/number_of_messages_experiment_1512665672.txt,7,197,31
real_data/number_of_messages_experiment_1512665672.txt,7,155,31
real_data/number_of_messages_experiment_1512665672.txt,8,530,71
real_data/number_of_messages_experiment_1512665672.txt,8,649,71
real_data/number_of_messages_experiment_1512665672.txt,8,544,71
real_data/number_of_messages_experiment_1512665672.txt,8,488,71
real_data/number_of_messages_experiment_1512665672.txt,8,599,71
real_data/number_of_messages_experiment_1512665672.txt,8,614,71
real_data/number_of_messages_experiment_1512665672.txt,8,558,71
real_data/number_of_messages_experiment_1512665672.txt,8,607,71
real_data/number_of_messages_experiment_1512665672.txt,9,315,36
real_data/number_of_messages_experiment_1512665672.txt,9,291,36
real_data/number_of_messages_experiment_1512665672.txt,9,371,36
real_data/number_of_messages_experiment_1512665672.txt,9,371,36
real_data/number_of_messages_experiment_1512665672.txt,9,387,36
real_data/number_of_messages_experiment_1512665672.txt,9,371,36
real_data/number_of_messages_experiment_1512665672.txt,9,371,36
real_data/number_of_messages_experiment_1512665672.txt,9,395,36
real_data/number_of_messages_experiment_1512665672.txt,9,466,36
real_data/number_of_messages_experiment_1512665672.txt,10,435,47
real_data/number_of_messages_experiment_1512665672.txt,10,426,47
real_data/number_of_messages_experiment_1512665672.txt,10,417,47
real_data/number_of_messages_experiment_1512665672.txt,10,381,47
real_data/number_of_messages_experiment_1512665672.txt,10,479,47
real_data/number_of_messages_experiment_1512665672.txt,10,543,47
real_data/number_of_messages_experiment_1512665672.txt,10,399,47
real_data/number_of_messages_experiment_1512665672.txt,10,570,47
real_data/number_of_messages_experiment_1512665672.txt,10,453,47
real_data/number_of_messages_experiment_1512665672.txt,10,399,47
real_data/number_of_messages_experiment_1512665672.txt,11,173,32
real_data/number_of_messages_experiment_1512665672.txt,11,273,32
real_data/number_of_messages_experiment_1512665672.txt,11,363,32
real_data/number_of_messages_experiment_1512665672.txt,11,282,32
real_data/number_of_messages_experiment_1512665672.txt,11,273,32
real_data/number_of_messages_experiment_1512665672.txt,11,273,32
real_data/number_of_messages_experiment_1512665672.txt,11,283,32
real_data/number_of_messages_experiment_1512665672.txt,11,183,32
real_data/number_of_messages_experiment_1512665672.txt,11,263,32
real_data/number_of_messages_experiment_1512665672.txt,11,293,32
real_data/number_of_messages_experiment_1512665672.txt,11,263,32
real_data/number_of_messages_experiment_1512665672.txt,12,608,54
real_data/number_of_messages_experiment_1512665672.txt,12,586,54
real_data/number_of_messages_experiment_1512665672.txt,12,487,54
real_data/number_of_messages_experiment_1512665672.txt,12,608,54
real_data/number_of_messages_experiment_1512665672.txt,12,596,54
real_data/number_of_messages_experiment_1512665672.txt,12,399,54
real_data/number_of_messages_experiment_1512665672.txt,12,608,54
real_data/number_of_messages_experiment_1512665672.txt,12,597,54
real_data/number_of_messages_experiment_1512665672.txt,12,564,54
real_data/number_of_messages_experiment_1512665672.txt,12,509,54
real_data/number_of_messages_experiment_1512665672.txt,12,542,54
real_data/number_of_messages_experiment_1512665672.txt,12,509,54
real_data/number_of_messages_experiment_1512665672.txt,13,665,58
real_data/number_of_messages_experiment_1512665672.txt,13,785,58
real_data/number_of_messages_experiment_1512665672.txt,13,569,58
real_data/number_of_messages_experiment_1512665672.txt,13,641,58
real_data/number_of_messages_experiment_1512665672.txt,13,785,58
real_data/number_of_messages_experiment_1512665672.txt,13,712,58
real_data/number_of_messages_experiment_1512665672.txt,13,833,58
real_data/number_of_messages_experiment_1512665672.txt,13,689,58
real_data/number_of_messages_experiment_1512665672.txt,13,749,58
real_data/number_of_messages_experiment_1512665672.txt,13,749,58
real_data/number_of_messages_experiment_1512665672.txt,13,761,58
real_data/number_of_messages_experiment_1512665672.txt,13,785,58
real_data/number_of_messages_experiment_1512665672.txt,13,689,58
real_data/number_of_messages_experiment_1512665672.txt,14,720,56
real_data/number_of_messages_experiment_1512665672.txt,14,590,56
real_data/number_of_messages_experiment_1512665672.txt,14,759,56
real_data/number_of_messages_experiment_1512665672.txt,14,590,56
real_data/number_of_messages_experiment_1512665672.txt,14,668,56
real_data/number_of_messages_experiment_1512665672.txt,14,642,56
real_data/number_of_messages_experiment_1512665672.txt,14,746,56
real_data/number_of_messages_experiment_1512665672.txt,14,785,56
real_data/number_of_messages_experiment_1512665672.txt,14,759,56
real_data/number_of_messages_experiment_1512665672.txt,14,707,56
real_data/number_of_messages_experiment_1512665672.txt,14,616,56
real_data/number_of_messages_experiment_1512665672.txt,14,862,56
real_data/number_of_messages_experiment_1512665672.txt,14,707,56
real_data/number_of_messages_experiment_1512665672.txt,14,681,56
real_data/number_of_messages_experiment_1512665672.txt,15,621,53
real_data/number_of_messages_experiment_1512665672.txt,15,509,53
real_data/number_of_messages_experiment_1512665672.txt,15,551,53
real_data/number_of_messages_experiment_1512665672.txt,15,425,53
real_data/number_of_messages_experiment_1512665672.txt,15,481,53
real_data/number_of_messages_experiment_1512665672.txt,15,495,53
real_data/number_of_messages_experiment_1512665672.txt,15,523,53
real_data/number_of_messages_experiment_1512665672.txt,15,607,53
real_data/number_of_messages_experiment_1512665672.txt,15,705,53
real_data/number_of_messages_experiment_1512665672.txt,15,690,53
real_data/number_of_messages_experiment_1512665672.txt,15,635,53
real_data/number_of_messages_experiment_1512665672.txt,15,551,53
real_data/number_of_messages_experiment_1512665672.txt,15,509,53
real_data/number_of_messages_experiment_1512665672.txt,15,579,53
real_data/number_of_messages_experiment_1512665672.txt,15,593,53
real_data/number_of_messages_experiment_1512665672.txt,16,575,41
real_data/number_of_messages_experiment_1512665672.txt,16,530,41
real_data/number_of_messages_experiment_1512665672.txt,16,560,41
real_data/number_of_messages_experiment_1512665672.txt,16,530,41
real_data/number_of_messages_experiment_1512665672.txt,16,545,41
real_data/number_of_messages_experiment_1512665672.txt,16,515,41
real_data/number_of_messages_experiment_1512665672.txt,16,545,41
real_data/number_of_messages_experiment_1512665672.txt,16,455,41
real_data/number_of_messages_experiment_1512665672.txt,16,530,41
real_data/number_of_messages_experiment_1512665672.txt,16,425,41
real_data/number_of_messages_experiment_1512665672.txt,16,560,41
real_data/number_of_messages_experiment_1512665672.txt,16,620,41
real_data/number_of_messages_experiment_1512665672.txt,16,590,41
real_data/number_of_messages_experiment_1512665672.txt,16,365,41
real_data/number_of_messages_experiment_1512665672.txt,16,560,41
real_data/number_of_messages_experiment_1512665672.txt,16,784,41
real_data/number_of_messages_experiment_1512665672.txt,17,1141,94
real_data/number_of_messages_experiment_1512665672.txt,17,1445,94
real_data/number_of_messages_experiment_1512665672.txt,17,1317,94
real_data/number_of_messages_experiment_1512665672.txt,17,1365,94
real_data/number_of_messages_experiment_1512665672.txt,17,1284,94
real_data/number_of_messages_experiment_1512665672.txt,17,1461,94
real_data/number_of_messages_experiment_1512665672.txt,17,1413,94
real_data/number_of_messages_experiment_1512665672.txt,17,1365,94
real_data/number_of_messages_experiment_1512665672.txt,17,1413,94
real_data/number_of_messages_experiment_1512665672.txt,17,1365,94
real_data/number_of_messages_experiment_1512665672.txt,17,1413,94
real_data/number_of_messages_experiment_1512665672.txt,17,1349,94
real_data/number_of_messages_experiment_1512665672.txt,17,1349,94
real_data/number_of_messages_experiment_1512665672.txt,17,1333,94
real_data/number_of_messages_experiment_1512665672.txt,17,1317,94
real_data/number_of_messages_experiment_1512665672.txt,17,1269,94
real_data/number_of_messages_experiment_1512665672.txt,17,1429,94
real_data/number_of_messages_experiment_1512665672.txt,18,1518,99
