filename,bits_used_for_primes,time_spent_to_shuffle_in_ns
real_data/crypto_experiment_512_bits_1512678615.txt,512,4471672144
real_data/crypto_experiment_512_bits_1512678615.txt,512,3753729870
real_data/crypto_experiment_128_bits_1512678721.txt,128,1272037878
real_data/crypto_experiment_128_bits_1512678721.txt,128,775203378
real_data/crypto_experiment_128_bits_1512678721.txt,128,1357140438
real_data/crypto_experiment_128_bits_1512678721.txt,128,872030934
real_data/crypto_experiment_128_bits_1512678721.txt,128,1378517740
real_data/crypto_experiment_128_bits_1512678721.txt,128,755784630
real_data/crypto_experiment_128_bits_1512678721.txt,128,1243740286
real_data/crypto_experiment_128_bits_1512678721.txt,128,780469003
real_data/crypto_experiment_128_bits_1512678721.txt,128,1246893831
real_data/crypto_experiment_128_bits_1512678721.txt,128,778459754
real_data/crypto_experiment_128_bits_1512678721.txt,128,1264599951
real_data/crypto_experiment_128_bits_1512678721.txt,128,766175847
real_data/crypto_experiment_512_bits_1512678543.txt,512,4279882319
real_data/crypto_experiment_512_bits_1512678543.txt,512,3924237966
real_data/crypto_experiment_512_bits_1512678543.txt,512,4313657081
real_data/crypto_experiment_512_bits_1512678543.txt,512,3915418585
real_data/crypto_experiment_512_bits_1512678543.txt,512,4330721226
real_data/crypto_experiment_512_bits_1512678543.txt,512,3821645981
real_data/crypto_experiment_512_bits_1512678543.txt,512,4539477432
real_data/crypto_experiment_512_bits_1512678543.txt,512,3950563576
real_data/crypto_experiment_512_bits_1512678543.txt,512,4482957672
real_data/crypto_experiment_512_bits_1512678543.txt,512,3928874237
real_data/crypto_experiment_512_bits_1512678543.txt,512,4331255572
real_data/crypto_experiment_512_bits_1512678543.txt,512,3976692849
real_data/crypto_experiment_512_bits_1512678593.txt,512,4348903521
real_data/crypto_experiment_512_bits_1512678593.txt,512,3820422732
real_data/crypto_experiment_512_bits_1512678593.txt,512,4299385170
real_data/crypto_experiment_512_bits_1512678593.txt,512,3980796629
real_data/crypto_experiment_512_bits_1512678593.txt,512,4418935168
real_data/crypto_experiment_512_bits_1512678593.txt,512,3915758801
real_data/crypto_experiment_512_bits_1512678593.txt,512,4498309860
real_data/crypto_experiment_512_bits_1512678593.txt,512,3823768037
real_data/crypto_experiment_512_bits_1512678593.txt,512,4387041953
real_data/crypto_experiment_512_bits_1512678593.txt,512,3793304015
real_data/crypto_experiment_512_bits_1512678593.txt,512,4320867665
real_data/crypto_experiment_512_bits_1512678593.txt,512,3979656384
real_data/crypto_experiment_256_bits_1512678961.txt,256,1804528250
real_data/crypto_experiment_256_bits_1512678961.txt,256,1458063589
real_data/crypto_experiment_256_bits_1512678961.txt,256,1786922929
real_data/crypto_experiment_256_bits_1512678961.txt,256,1486173413
real_data/crypto_experiment_256_bits_1512678961.txt,256,1826544132
real_data/crypto_experiment_256_bits_1512678961.txt,256,1483347638
real_data/crypto_experiment_256_bits_1512678961.txt,256,1777384351
real_data/crypto_experiment_256_bits_1512678961.txt,256,1576153657
real_data/crypto_experiment_256_bits_1512678961.txt,256,1787681165
real_data/crypto_experiment_256_bits_1512678961.txt,256,1476555757
real_data/crypto_experiment_256_bits_1512678961.txt,256,1769383258
